CCMH27;26/08/2026;82,35;83,19;82,23;83,14;77907019,50;2090
CCMH27;25/08/2026;82,42;82,50;82,00;82,43;22794138,00;615
CCMH27;24/08/2026;81,40;82,69;81,40;82,50;27049036,50;730
CCMH27;21/08/2026;80,95;81,75;80,60;81,46;34063069,50;934
CCMH27;20/08/2026;80,18;81,30;80,08;80,86;27400522,50;752
CCMH27;19/08/2026;80,18;80,29;79,80;80,15;49441860,00;1374
CCMH27;18/08/2026;79,59;80,28;79,59;80,13;13917829,50;387
CCMH27;17/08/2026;78,71;79,62;78,60;79,55;32891580,00;923
CCMH27;14/08/2026;78,01;78,75;77,80;78,69;26904649,50;763
CCMH27;13/08/2026;78,59;78,74;77,83;77,95;24923155,50;707
CCMH27;12/08/2026;78,54;78,84;78,54;78,62;38283408,00;1081
CCMH27;11/08/2026;78,75;78,85;78,56;78,69;24392875,50;689
CCMH27;10/08/2026;77,88;78,74;77,88;78,68;19724494,50;560
CCMH27;07/08/2026;78,00;78,20;77,84;77,95;23773626,00;677
CCMH27;06/08/2026;77,80;78,00;77,43;78,00;17356225,50;496
CCMH27;05/08/2026;78,20;78,36;77,74;77,79;9887859,00;282
CCMH27;04/08/2026;78,50;78,51;78,15;78,30;32045337,00;910
CCMH27;03/08/2026;78,93;78,95;78,51;78,59;6663159,00;188
CCMH27;31/07/2026;79,43;79,46;78,72;79,00;12079179,00;340
CCMH27;30/07/2026;79,58;79,87;79,45;79,55;36057694,50;1006
CCMH27;29/07/2026;79,40;79,95;79,00;79,67;21328587,00;597
CCMH27;28/07/2026;77,74;79,66;77,59;79,41;23055354,00;656
CCMH27;27/07/2026;78,51;78,51;77,00;77,79;32408329,50;930
CCMH27;24/07/2026;78,45;78,53;77,95;78,50;28737706,50;816
CCMH27;23/07/2026;77,73;78,63;77,73;78,53;29068096,50;826
CCMH27;22/07/2026;76,84;77,87;76,79;77,73;32103769,50;922
CCMH27;21/07/2026;76,86;77,00;76,57;76,90;15561009,00;450
CCMH27;20/07/2026;76,39;76,86;76,20;76,82;14327149,50;416
CCMH27;17/07/2026;76,00;76,20;75,80;76,20;22009396,50;643
CCMH27;16/07/2026;75,94;76,00;75,68;76,00;6588049,50;193
CCMH27;15/07/2026;75,49;76,00;75,49;75,80;11395552,50;334
CCMH27;14/07/2026;75,49;75,56;75,38;75,53;3667801,50;108
CCMH27;13/07/2026;75,39;75,62;75,39;75,62;951700,50;28
CCMH27;10/07/2026;75,19;75,45;75,19;75,40;15493248,00;457
CCMH27;09/07/2026;75,36;75,50;75,24;75,32;12651637,50;373
CCMH27;08/07/2026;75,39;75,88;75,37;75,37;12263391,00;361
CCMH27;07/07/2026;75,37;75,51;75,20;75,45;6676267,50;197
CCMH27;06/07/2026;75,10;75,55;74,92;75,53;8787420,00;260
CCMH27;03/07/2026;75,01;75,20;74,90;75,08;8515282,50;252
CCMH27;02/07/2026;75,03;75,14;74,87;74,87;8408740,50;249
CCMH27;01/07/2026;75,10;75,20;74,85;74,95;4823379,00;143
CCMH27;30/06/2026;74,82;75,19;74,82;75,07;12464109,00;369
CCMH27;29/06/2026;74,93;75,00;74,90;74,99;9753241,50;289
CCMH27;26/06/2026;75,04;75,07;74,80;74,95;11994498,00;356
CCMH27;25/06/2026;75,10;75,20;74,95;75,17;2332759,50;69
CCMH27;24/06/2026;75,44;75,44;74,95;75,20;3005671,50;89
CCMH27;23/06/2026;74,96;75,11;74,86;75,11;17769649,50;527
CCMH27;22/06/2026;75,12;75,14;74,74;75,00;11244537,00;334
CCMH27;19/06/2026;75,05;75,05;74,73;75,04;21070143,00;626
CCMH27;18/06/2026;74,94;75,18;74,38;75,13;7527541,50;223
CCMH27;17/06/2026;75,09;75,30;74,85;74,92;6035764,50;179
CCMH27;16/06/2026;74,95;75,23;74,90;75,10;6660598,50;197
CCMH27;15/06/2026;74,94;75,30;74,85;75,12;8785300,50;260
CCMH27;12/06/2026;74,80;75,18;74,80;75,05;2394504,00;71
CCMH27;11/06/2026;75,09;75,20;74,90;75,05;8169696,00;242
CCMH27;10/06/2026;75,21;75,42;74,95;74,99;7811203,50;231
CCMH27;09/06/2026;75,00;75,27;74,43;75,05;2737444,50;81
CCMH27;08/06/2026;75,79;75,79;75,10;75,39;11127136,50;329
CCMH27;05/06/2026;75,30;75,83;74,99;75,80;8165610,00;240
CCMH27;03/06/2026;74,80;75,43;74,60;75,43;2969703,00;88
CCMH27;02/06/2026;74,74;75,07;74,74;75,02;10878574,50;323
CCMH27;01/06/2026;74,81;75,40;74,50;74,95;7506360,00;222
CCMH27;29/05/2026;75,04;75,40;74,95;75,04;7403314,50;219
CCMH27;28/05/2026;75,20;75,36;75,06;75,30;1896358,50;56
CCMH27;27/05/2026;75,34;75,34;74,97;75,10;1588032,00;47
CCMH27;26/05/2026;75,50;75,50;74,80;75,41;23392710,00;690
CCMH27;25/05/2026;75,80;75,84;75,30;75,53;4995661,50;147
CCMH27;22/05/2026;75,60;76,01;75,50;75,80;6642936,00;195
CCMH27;21/05/2026;75,39;75,90;75,20;75,90;29938081,50;881
CCMH27;20/05/2026;74,93;75,50;74,93;75,40;1795302,00;53
CCMH27;19/05/2026;75,15;75,18;74,92;75,18;540315,00;16
CCMH27;18/05/2026;75,38;75,41;74,91;74,91;1828840,50;54
CCMH27;15/05/2026;74,90;74,97;74,82;74,82;673996,50;20
CCMH27;14/05/2026;74,71;75,07;74,71;75,05;10370466,00;308
CCMH27;13/05/2026;75,03;75,05;74,67;74,81;5699358,00;169
CCMH27;12/05/2026;75,37;75,50;75,00;75,00;10758856,50;318
CCMH27;11/05/2026;75,00;75,10;74,70;75,10;1247359,50;37
CCMH27;08/05/2026;74,49;74,50;74,34;74,50;4358164,50;130
CCMH27;07/05/2026;74,05;74,30;73,50;74,29;5568934,50;167
CCMH27;06/05/2026;74,00;74,30;73,30;74,00;1230885,00;37
CCMH27;05/05/2026;74,75;74,75;74,30;74,50;18655951,50;556
CCMH27;04/05/2026;75,18;75,50;74,88;74,88;25162479,00;745
CCMH27;30/04/2026;75,39;76,00;75,00;75,00;13113418,50;387
CCMH27;29/04/2026;75,70;75,70;75,58;75,59;6430878,00;189
CCMH27;28/04/2026;75,80;75,80;75,29;75,45;10803748,50;318
CCMH27;27/04/2026;75,40;76,00;75,40;75,80;6276388,50;184
CCMH27;24/04/2026;75,35;76,05;75,16;75,16;16629259,50;488
CCMH27;23/04/2026;75,50;75,65;74,70;75,39;14761057,50;435
CCMH27;22/04/2026;75,10;76,09;75,05;76,09;43475845,50;1279
CCMH27;20/04/2026;75,14;75,20;75,00;75,10;11390526,00;337
CCMH27;17/04/2026;75,20;75,20;74,71;74,94;17981077,50;533
CCMH27;16/04/2026;75,15;75,30;75,00;75,25;12822790,50;379
CCMH27;15/04/2026;75,45;75,50;75,00;75,11;27692874,00;817
CCMH27;14/04/2026;75,64;75,64;75,00;75,00;11551441,50;340
CCMH27;13/04/2026;75,45;75,51;75,40;75,50;17700885,00;521
CCMH27;10/04/2026;75,64;75,64;75,35;75,35;3904137,00;115
CCMH27;09/04/2026;75,91;75,91;75,51;75,70;5381991,00;158
