Ativo;Data;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
DI1F27;21/08/2026;13,720;13,730;13,705;13,710;34.964.415.491,69;366.067
DI1F27;20/08/2026;13,730;13,740;13,725;13,725;29.569.339.446,62;309.755
DI1F27;19/08/2026;13,745;13,745;13,720;13,720;28.615.041.681,98;299.911
DI1F27;18/08/2026;13,765;13,770;13,745;13,745;25.897.476.994,29;271.587
DI1F27;17/08/2026;13,765;13,785;13,755;13,760;24.760.235.088,10;259.806
DI1F27;14/08/2026;13,745;13,820;13,740;13,765;73.639.826.827,05;773.117
DI1F27;13/08/2026;13,750;13,760;13,735;13,750;73.381.142.175,94;770.710
DI1F27;12/08/2026;13,755;13,760;13,735;13,755;49.394.573.066,22;519.058
DI1F27;11/08/2026;13,760;13,775;13,745;13,755;34.147.844.339,77;359.036
DI1F27;10/08/2026;13,745;13,765;13,740;13,740;18.797.478.994,59;197.735
DI1F27;07/08/2026;13,760;13,770;13,740;13,745;24.361.673.594,39;256.396
DI1F27;06/08/2026;13,775;13,790;13,760;13,770;38.631.808.102,69;406.826
DI1F27;05/08/2026;13,795;13,800;13,755;13,770;50.123.492.414,86;528.106
DI1F27;04/08/2026;13,775;13,810;13,770;13,795;47.101.710.068,03;496.554
DI1F27;03/08/2026;13,755;13,810;13,755;13,805;47.930.663.160,24;505.557
DI1F27;31/07/2026;13,820;13,820;13,790;13,810;13.494.955.214,45;142.420
DI1F27;30/07/2026;13,825;13,845;13,805;13,805;39.796.655.633,70;420.239
DI1F27;29/07/2026;13,880;13,890;13,840;13,850;56.789.655.582,15;600.097
DI1F27;28/07/2026;13,865;13,880;13,845;13,865;82.965.083.883,06;877.119
DI1F27;27/07/2026;13,900;13,940;13,900;13,900;52.607.269.862,87;556.569
DI1F27;24/07/2026;14,010;14,020;13,935;13,960;69.660.550.200,34;737.555
DI1F27;23/07/2026;13,980;14,060;13,965;14,045;73.717.380.290,60;781.008
DI1F27;22/07/2026;13,960;13,980;13,930;13,950;20.096.793.533,92;212.976
DI1F27;21/07/2026;13,900;13,940;13,895;13,935;23.978.769.992,38;254.222
DI1F27;20/07/2026;13,960;13,970;13,905;13,915;50.334.775.732,07;533.948
DI1F27;17/07/2026;13,890;13,975;13,880;13,960;52.278.965.169,62;554.853
DI1F27;16/07/2026;13,865;13,890;13,810;13,875;52.817.559.972,91;560.739
DI1F27;15/07/2026;13,885;13,910;13,880;13,890;21.174.095.078,04;224.928
DI1F27;14/07/2026;13,950;13,960;13,895;13,895;42.600.721.530,78;452.809
DI1F27;13/07/2026;13,930;13,965;13,910;13,955;50.205.853.466,58;533.969
DI1F27;10/07/2026;13,955;13,955;13,895;13,900;72.389.929.669,28;770.238
DI1F27;09/07/2026;14,050;14,055;13,990;13,990;36.915.054.788,15;393.143
DI1F27;08/07/2026;14,065;14,070;14,030;14,055;46.342.703.702,78;493.880
DI1F27;07/07/2026;13,995;14,050;13,980;14,015;49.524.512.534,60;527.963
DI1F27;06/07/2026;14,020;14,020;13,980;13,985;13.845.968.102,36;147.678
DI1F27;03/07/2026;14,005;14,025;13,985;14,000;13.370.346.072,59;142.685
DI1F27;02/07/2026;14,010;14,070;13,970;14,035;38.800.871.321,00;414.334
DI1F27;01/07/2026;14,015;14,045;13,985;14,020;55.446.454.763,49;592.355
DI1F27;30/06/2026;14,040;14,070;13,975;14,000;53.167.661.849,31;568.308
DI1F27;29/06/2026;14,045;14,070;14,025;14,035;17.390.895.022,44;186.008
DI1F27;26/06/2026;14,095;14,095;14,035;14,050;35.559.555.393,75;380.569
DI1F27;25/06/2026;14,075;14,115;14,040;14,090;77.634.043.281,64;831.332
DI1F27;24/06/2026;14,175;14,190;14,120;14,125;57.978.745.374,23;621.384
DI1F27;23/06/2026;14,240;14,260;14,170;14,185;72.138.434.900,83;773.719
DI1F27;22/06/2026;14,245;14,265;14,210;14,215;37.587.985.275,63;403.432
DI1F27;19/06/2026;14,230;14,265;14,225;14,255;26.691.234.687,86;286.656
DI1F27;18/06/2026;14,240;14,325;14,205;14,235;83.076.895.214,01;892.716
DI1F27;17/06/2026;14,230;14,355;14,225;14,320;78.022.832.013,75;838.949
DI1F27;16/06/2026;14,210;14,270;14,175;14,255;61.459.071.293,03;661.018
DI1F27;15/06/2026;14,300;14,300;14,215;14,240;68.823.986.381,67;740.691
DI1F27;12/06/2026;14,390;14,400;14,240;14,360;81.748.555.876,05;880.650
DI1F27;11/06/2026;14,450;14,485;14,295;14,310;126.906.483.736,77;1.368.095
DI1F27;10/06/2026;14,510;14,535;14,450;14,495;104.120.994.149,17;1.123.632
DI1F27;09/06/2026;14,500;14,530;14,470;14,480;112.279.364.105,06;1.212.454
DI1F27;08/06/2026;14,415;14,530;14,325;14,520;105.101.875.716,59;1.135.193
DI1F27;05/06/2026;14,340;14,430;14,240;14,430;111.971.865.485,52;1.209.638
DI1F27;03/06/2026;14,175;14,325;14,175;14,275;133.358.871.611,32;1.440.661
DI1F27;02/06/2026;14,165;14,205;14,145;14,160;69.342.884.143,11;749.157
DI1F27;01/06/2026;14,110;14,210;14,095;14,205;67.841.096.944,47;733.241
DI1F27;29/05/2026;14,095;14,120;14,070;14,090;61.462.458.425,77;664.449
DI1F27;28/05/2026;14,140;14,140;14,015;14,100;108.754.004.719,18;1.176.198
DI1F27;27/05/2026;14,050;14,100;14,010;14,065;45.914.405.615,06;496.769
DI1F27;26/05/2026;14,035;14,075;14,025;14,065;51.916.962.327,58;562.026
DI1F27;25/05/2026;14,030;14,030;13,985;14,025;41.743.355.729,21;452.002
DI1F27;22/05/2026;14,045;14,115;14,040;14,115;47.896.088.946,98;519.116
DI1F27;21/05/2026;14,140;14,140;13,995;14,040;61.872.093.985,09;670.886
DI1F27;20/05/2026;14,130;14,160;14,030;14,075;78.386.932.604,68;850.519
DI1F27;19/05/2026;14,145;14,190;14,110;14,140;78.885.854.522,55;856.655
DI1F27;18/05/2026;14,230;14,235;14,125;14,135;62.422.216.872,48;678.331
DI1F27;15/05/2026;14,210;14,240;14,195;14,235;77.751.137.569,57;845.561
DI1F27;14/05/2026;14,235;14,240;14,135;14,190;53.570.866.459,50;582.739
DI1F27;13/05/2026;14,130;14,270;14,125;14,210;128.313.000.428,47;1.396.731
DI1F27;12/05/2026;14,105;14,185;14,105;14,115;47.917.900.808,13;521.695
DI1F27;11/05/2026;14,100;14,120;14,075;14,105;27.371.887.854,04;298.107
DI1F27;08/05/2026;14,165;14,165;14,035;14,040;27.904.284.643,62;303.972
DI1F27;07/05/2026;14,035;14,130;14,010;14,115;58.583.848.764,00;638.569
DI1F27;06/05/2026;13,975;14,060;13,975;14,055;62.312.597.697,94;679.452
DI1F27;05/05/2026;14,180;14,195;14,130;14,140;38.080.445.732,96;415.719
DI1F27;04/05/2026;14,210;14,245;14,135;14,210;53.860.859.557,51;588.480
DI1F27;30/04/2026;14,170;14,175;14,125;14,145;56.035.790.182,05;612.357
DI1F27;29/04/2026;14,125;14,230;14,125;14,205;74.147.094.198,80;810.894
DI1F27;28/04/2026;14,170;14,210;14,105;14,115;59.327.442.074,39;649.095
DI1F27;27/04/2026;14,075;14,150;14,070;14,135;29.973.247.610,94;328.026
DI1F27;24/04/2026;14,120;14,145;14,055;14,095;33.650.950.213,00;368.412
DI1F27;23/04/2026;14,025;14,185;14,000;14,140;80.052.004.412,67;876.816
DI1F27;22/04/2026;13,950;14,020;13,950;14,010;60.858.835.673,76;666.536
DI1F27;20/04/2026;13,945;13,990;13,910;13,910;41.400.146.585,05;453.515
DI1F27;17/04/2026;14,035;14,045;13,835;13,910;115.058.760.266,93;1.260.698
DI1F27;16/04/2026;13,955;14,065;13,945;14,045;51.946.917.996,53;569.872
DI1F27;15/04/2026;13,965;14,000;13,940;13,960;78.418.782.819,64;860.534
DI1F27;14/04/2026;14,065;14,070;13,980;13,990;65.168.959.395,29;715.695
DI1F27;13/04/2026;14,145;14,210;14,050;14,100;57.398.926.128,15;631.072
DI1F27;10/04/2026;13,965;14,100;13,965;14,060;72.419.232.110,05;796.285
DI1F27;09/04/2026;13,950;13,980;13,870;13,920;60.200.972.020,64;661.762
DI1F27;08/04/2026;13,920;13,980;13,835;13,925;105.121.291.140,30;1.156.064
DI1F27;07/04/2026;14,170;14,280;14,145;14,145;55.378.299.614,47;610.616
DI1F27;06/04/2026;14,075;14,185;14,025;14,170;34.487.070.791,37;380.196
DI1F27;02/04/2026;14,170;14,185;13,990;14,030;41.983.411.044,71;462.910
DI1F27;01/04/2026;14,060;14,075;13,970;14,035;65.326.371.006,69;720.487
DI1F27;31/03/2026;14,255;14,255;14,055;14,105;91.660.994.807,60;1.012.177
DI1F27;30/03/2026;14,390;14,390;14,225;14,285;47.112.860.892,43;521.001
DI1F27;27/03/2026;14,325;14,450;14,290;14,395;71.742.493.868,74;794.319
DI1F27;26/03/2026;14,230;14,360;14,220;14,320;109.122.036.646,28;1.208.196
DI1F27;25/03/2026;14,100;14,185;14,035;14,105;81.971.906.292,52;906.852
DI1F27;24/03/2026;14,190;14,300;14,100;14,160;88.386.121.873,84;978.974
DI1F27;23/03/2026;14,350;14,480;14,135;14,150;130.781.172.697,97;1.449.667
DI1F27;20/03/2026;14,120;14,440;14,115;14,420;127.025.221.456,16;1.409.161
DI1F27;19/03/2026;14,125;14,340;13,990;14,095;213.620.540.626,31;2.369.419
DI1F27;18/03/2026;14,130;14,235;14,080;14,200;110.958.249.969,33;1.231.317
DI1F27;17/03/2026;14,085;14,275;13,975;14,135;132.362.514.461,72;1.468.584
DI1F27;16/03/2026;14,155;14,190;14,050;14,070;110.701.227.597,77;1.229.338
DI1F27;13/03/2026;13,940;14,425;13,910;14,315;253.627.218.242,49;2.818.483
DI1F27;12/03/2026;13,765;14,010;13,745;13,995;201.831.013.521,67;2.240.001
DI1F27;11/03/2026;13,605;13,715;13,575;13,710;77.656.289.573,06;860.861
DI1F27;10/03/2026;13,600;13,640;13,450;13,560;104.855.981.184,90;1.162.086
DI1F27;09/03/2026;13,725;13,945;13,535;13,555;150.939.886.341,86;1.676.197
DI1F27;06/03/2026;13,560;13,725;13,545;13,670;162.785.966.071,07;1.807.414
DI1F27;05/03/2026;13,415;13,580;13,395;13,505;146.581.237.194,85;1.626.088
DI1F27;04/03/2026;13,450;13,450;13,370;13,410;55.136.223.370,80;611.626
DI1F27;03/03/2026;13,340;13,585;13,335;13,445;244.073.614.037,92;2.710.250
DI1F27;02/03/2026;13,300;13,360;13,295;13,305;111.464.024.003,19;1.237.040
DI1F27;27/02/2026;13,215;13,335;13,185;13,280;164.809.877.162,71;1.829.735
DI1F27;26/02/2026;13,230;13,235;13,170;13,175;46.180.653.335,92;512.589
DI1F27;25/02/2026;13,225;13,245;13,215;13,240;40.602.856.458,53;451.006
DI1F27;24/02/2026;13,245;13,255;13,215;13,235;33.116.431.400,93;368.018
DI1F27;23/02/2026;13,250;13,270;13,225;13,245;23.480.384.685,22;261.092
DI1F27;20/02/2026;13,305;13,305;13,240;13,240;22.873.719.490,43;254.522
DI1F27;19/02/2026;13,315;13,325;13,290;13,295;22.471.793.953,95;250.237
DI1F27;18/02/2026;13,320;13,325;13,265;13,315;24.819.516.596,88;276.498
DI1F27;13/02/2026;13,310;13,325;13,300;13,310;29.374.552.670,80;327.442
DI1F27;12/02/2026;13,320;13,350;13,295;13,325;64.970.537.701,49;724.681
DI1F27;11/02/2026;13,370;13,395;13,310;13,340;45.661.365.086,67;509.601
DI1F27;10/02/2026;13,345;13,395;13,330;13,380;44.570.664.412,27;497.815
DI1F27;09/02/2026;13,375;13,410;13,335;13,335;66.691.691.197,89;745.266
DI1F27;06/02/2026;13,385;13,395;13,335;13,360;42.341.185.691,26;473.338
DI1F27;05/02/2026;13,415;13,420;13,375;13,395;42.786.557.550,38;478.672
DI1F27;04/02/2026;13,435;13,445;13,400;13,405;43.795.758.970,59;490.308
DI1F27;03/02/2026;13,425;13,445;13,410;13,435;61.488.196.826,44;688.785
DI1F27;02/02/2026;13,460;13,485;13,430;13,455;47.964.638.846,81;537.667
DI1F27;30/01/2026;13,465;13,525;13,465;13,485;59.241.347.840,91;664.573
DI1F27;29/01/2026;13,455;13,540;13,445;13,475;141.378.711.960,58;1.586.822
DI1F27;28/01/2026;13,580;13,585;13,500;13,515;64.255.542.591,97;721.881
DI1F27;27/01/2026;13,665;13,670;13,570;13,575;79.384.663.505,72;892.735
DI1F27;26/01/2026;13,675;13,700;13,660;13,680;64.304.785.893,67;723.990
DI1F27;23/01/2026;13,665;13,725;13,665;13,695;40.707.721.280,78;458.644
DI1F27;22/01/2026;13,725;13,745;13,675;13,680;55.160.362.597,02;621.783
DI1F27;21/01/2026;13,810;13,815;13,725;13,725;42.606.974.136,87;480.750
DI1F27;20/01/2026;13,765;13,825;13,765;13,810;36.513.198.779,00;412.314
DI1F27;19/01/2026;13,805;13,835;13,755;13,760;25.059.502.537,99;283.082
DI1F27;16/01/2026;13,740;13,825;13,740;13,805;39.106.754.426,38;442.073
DI1F27;15/01/2026;13,745;13,770;13,740;13,755;31.539.764.457,02;356.583
DI1F27;14/01/2026;13,690;13,765;13,675;13,740;37.049.488.331,82;418.979
